,input,model_output,strategy,group,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9,ref10,BLEU
119,they are culturally akin to the coastal peoples of papua new guinea.,they are culturally alluding to the coastal peoples of papua new guinea.,Replace common words with complex synonyms,worse_obvious,they are similar to the coastal peoples of papua new guinea.,their culture is like the people who live on the coast of papua new guinea.,they are similar to the papua new guinea people living on the coast.,they are culturally similar to the coastal peoples of papua new guinea.,they are culturally similar to the people of papua new guinea.,they are culturally like papua new guinea people.,they are culturally similar to the coastal peoples of papua new guinea.,they have the same culture to the coastal people of papua new guinea.,they are related to the peoples of papua new guinea.,their culture is similar to that of the coastal communities of papua new guinea.,76.11606003349888
120,"despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.","in late july, 1989, despina was discovered from the images taken by the voyager 2 probe, which is a spacecraft.",Alter sentence structure for awkward phrasing,worse_obvious,"despina was discovered in late july, 1989.",despina was found in late july 1989 from pictures made by voyager 2.,despina was found at the end of july 1989 from the images taken by the voyager 2 tool.,"in 1989, despina was discovered from the images that were taken by the voyager 2 probe.","despina was discovered in july, 1989. it was seen in pictures sent by the voyager 2 space craft.",despina was discovered in late july 1989.  it was seen in pictures taken by the voyager 2 probe.,despina was discovered in 1989 from images taken by the voyager 2 probe.,despina was discovered at the end of july 1989. people saw it in the pictures the voyager 2 probe took.,despina was found in july 1989 from the images taken by the voyager 2 probe.,"despina was found in late july, 1989 from photos taken by the voyager 2 probe.",69.54945740139036
121,"despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.","despina was finded in late july, 1989 from the images taken by the voyager 2 probe.",Introduce grammatical errors and inconsistencies,worse_obvious,"despina was discovered in late july, 1989.",despina was found in late july 1989 from pictures made by voyager 2.,despina was found at the end of july 1989 from the images taken by the voyager 2 tool.,"in 1989, despina was discovered from the images that were taken by the voyager 2 probe.","despina was discovered in july, 1989. it was seen in pictures sent by the voyager 2 space craft.",despina was discovered in late july 1989.  it was seen in pictures taken by the voyager 2 probe.,despina was discovered in 1989 from images taken by the voyager 2 probe.,despina was discovered at the end of july 1989. people saw it in the pictures the voyager 2 probe took.,despina was found in july 1989 from the images taken by the voyager 2 probe.,"despina was found in late july, 1989 from photos taken by the voyager 2 probe.",83.94327083733333
122,"despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.","despina was located in the latter part of july, 1989 from the visuals captured by the voyager 2 apparatus.",Replace common words with complex synonyms,worse_obvious,"despina was discovered in late july, 1989.",despina was found in late july 1989 from pictures made by voyager 2.,despina was found at the end of july 1989 from the images taken by the voyager 2 tool.,"in 1989, despina was discovered from the images that were taken by the voyager 2 probe.","despina was discovered in july, 1989. it was seen in pictures sent by the voyager 2 space craft.",despina was discovered in late july 1989.  it was seen in pictures taken by the voyager 2 probe.,despina was discovered in 1989 from images taken by the voyager 2 probe.,despina was discovered at the end of july 1989. people saw it in the pictures the voyager 2 probe took.,despina was found in july 1989 from the images taken by the voyager 2 probe.,"despina was found in late july, 1989 from photos taken by the voyager 2 probe.",31.967153441331142
123,"naas is a major ""dublin suburb"" town, with many people living in naas and working in dublin.",town suburb dublin is naas big. in naas many people living and dublin worked.,Alter sentence structure for awkward phrasing,worse_obvious,"naas is a major ""dublin suburb,"" with many living in naas and working in dublin.",many people in naas and work in dublin.,"naas is a major ""dublin suburb"" town.  many people live in naas and work in dublin.",naas is a suburb of dublin. most people who live in naas work in dublin.,"naas is a major ""dublin suburb"" town.  many people live there and work in dublin.","naas is a large town, with many of them working in dublin.",many people live in naas and work in dublin.,"naas is a major ""dublin suburb"" town with lots of people living in naas that work in dublin.",naas is a suburb of dublin. many people live there and work in dublin.,many people work in dublin and live in naas.,10.47054212604957
124,"naas is a major ""dublin suburb"" town, with many people living in naas and working in dublin.",naas is a big 'dublin suburb' town. many peoples living in naas and worked in dublin.,Introduce grammatical errors and inconsistencies,worse_obvious,"naas is a major ""dublin suburb,"" with many living in naas and working in dublin.",many people in naas and work in dublin.,"naas is a major ""dublin suburb"" town.  many people live in naas and work in dublin.",naas is a suburb of dublin. most people who live in naas work in dublin.,"naas is a major ""dublin suburb"" town.  many people live there and work in dublin.","naas is a large town, with many of them working in dublin.",many people live in naas and work in dublin.,"naas is a major ""dublin suburb"" town with lots of people living in naas that work in dublin.",naas is a suburb of dublin. many people live there and work in dublin.,many people work in dublin and live in naas.,29.87485454557513
125,"naas is a major ""dublin suburb"" town, with many people living in naas and working in dublin.",naas is a substantial 'dublin suburb' municipality. numerous individuals residing in naas and labored in dublin.,Replace common words with complex synonyms,worse_obvious,"naas is a major ""dublin suburb,"" with many living in naas and working in dublin.",many people in naas and work in dublin.,"naas is a major ""dublin suburb"" town.  many people live in naas and work in dublin.",naas is a suburb of dublin. most people who live in naas work in dublin.,"naas is a major ""dublin suburb"" town.  many people live there and work in dublin.","naas is a large town, with many of them working in dublin.",many people live in naas and work in dublin.,"naas is a major ""dublin suburb"" town with lots of people living in naas that work in dublin.",naas is a suburb of dublin. many people live there and work in dublin.,many people work in dublin and live in naas.,18.71015823041062
126,"before 1980, a section of the commonwealth railways central australian line passed along the western side of the simpson desert.","A section of the commonwealth railways central australian line, before 1980, passed along the western side of the simpson desert.",Alter sentence structure for awkward phrasing,worse_obvious,"before 1980, a section of the central australian line passed the western side of the simpson desert.",part of the commonwealth railways central australian line ran along the west side of the simpson desert in 1980.,"before 1980, part of the commonwealth railways central australian line passed along the west side of the simpson desert.",in australia prior to 1980 a part of the central australian railway passed along the simpson desert.,"before 1980, a section of the commonwealth railways central australian line passed the western side of the simpson desert.","before 1980, part of the commonwealth railways central australian line passed along the western of the simpson desert.","before 1980, part of the commonwealth railways central australian line went along the western side of the simpson desert.","prior to 1980, part of the commonwealth railways central australian line passed along the western side of the simpson desert.",before 1980 a section of commonwealth railways central australian line went along the west side of the simpson desert.,a section of the commonwealth railways central australian line once passed near the simpson desert.,75.22135016840222
127,"before 1980, a section of the commonwealth railways central australian line passed along the western side of the simpson desert.","before 1980, a part of the commonwealth railways central australian line pass along the western side of the simpson desert.",Introduce grammatical errors and inconsistencies,worse_obvious,"before 1980, a section of the central australian line passed the western side of the simpson desert.",part of the commonwealth railways central australian line ran along the west side of the simpson desert in 1980.,"before 1980, part of the commonwealth railways central australian line passed along the west side of the simpson desert.",in australia prior to 1980 a part of the central australian railway passed along the simpson desert.,"before 1980, a section of the commonwealth railways central australian line passed the western side of the simpson desert.","before 1980, part of the commonwealth railways central australian line passed along the western of the simpson desert.","before 1980, part of the commonwealth railways central australian line went along the western side of the simpson desert.","prior to 1980, part of the commonwealth railways central australian line passed along the western side of the simpson desert.",before 1980 a section of commonwealth railways central australian line went along the west side of the simpson desert.,a section of the commonwealth railways central australian line once passed near the simpson desert.,82.91873437000399
128,"before 1980, a section of the commonwealth railways central australian line passed along the western side of the simpson desert.","prior to 1980, a segment of the commonwealth railways central australian route traversed the western flank of the simpson desert.",Replace common words with complex synonyms,worse_obvious,"before 1980, a section of the central australian line passed the western side of the simpson desert.",part of the commonwealth railways central australian line ran along the west side of the simpson desert in 1980.,"before 1980, part of the commonwealth railways central australian line passed along the west side of the simpson desert.",in australia prior to 1980 a part of the central australian railway passed along the simpson desert.,"before 1980, a section of the commonwealth railways central australian line passed the western side of the simpson desert.","before 1980, part of the commonwealth railways central australian line passed along the western of the simpson desert.","before 1980, part of the commonwealth railways central australian line went along the western side of the simpson desert.","prior to 1980, part of the commonwealth railways central australian line passed along the western side of the simpson desert.",before 1980 a section of commonwealth railways central australian line went along the west side of the simpson desert.,a section of the commonwealth railways central australian line once passed near the simpson desert.,54.1728338585597
129,"he left a detachment of 11,000 troops to garrison the newly conquered region.","the group of 11,000 troops was left by him to garrison the newly conquered region.",Alter sentence structure for awkward phrasing,worse_obvious,"he left a 11,000 troops to garrison the newly conquered region.","he left a detachment of 11,000 troops to defend the newly conquered region.","he left 11,000 troops to garrison the new region that was defeated.","he left 11,000 troops there to defend the region.","11,000 troops were stationed in the newly conquered region.","he left 11,000 troops to man the newly conquered region.","he left behind a group of 11,000 troops to guard the newly conquered region.","he left a group of 11,000 soldiers to garrison the newly conquered area.","he left a group of 11,000 troops to defend the area.","he left 11,000 troops to defend the newly won area.",55.33409598501609
130,"he left a detachment of 11,000 troops to garrison the newly conquered region.","he leaved the group of 11,000 troop to garrison the newly conquered.",Introduce grammatical errors and inconsistencies,worse_obvious,"he left a 11,000 troops to garrison the newly conquered region.","he left a detachment of 11,000 troops to defend the newly conquered region.","he left 11,000 troops to garrison the new region that was defeated.","he left 11,000 troops there to defend the region.","11,000 troops were stationed in the newly conquered region.","he left 11,000 troops to man the newly conquered region.","he left behind a group of 11,000 troops to guard the newly conquered region.","he left a group of 11,000 soldiers to garrison the newly conquered area.","he left a group of 11,000 troops to defend the area.","he left 11,000 troops to defend the newly won area.",40.89601472043678
131,"he left a detachment of 11,000 troops to garrison the newly conquered region.","he departed the assemblage of 11,000 military personnel to garrison the recently subjugated area.",Replace common words with complex synonyms,worse_obvious,"he left a 11,000 troops to garrison the newly conquered region.","he left a detachment of 11,000 troops to defend the newly conquered region.","he left 11,000 troops to garrison the new region that was defeated.","he left 11,000 troops there to defend the region.","11,000 troops were stationed in the newly conquered region.","he left 11,000 troops to man the newly conquered region.","he left behind a group of 11,000 troops to guard the newly conquered region.","he left a group of 11,000 soldiers to garrison the newly conquered area.","he left a group of 11,000 troops to defend the area.","he left 11,000 troops to defend the newly won area.",14.865996369027272
132,"the name survives as a brand for a related spin-off digital television channel, digital radio station, and website which have survived the demise of the printed magazine.","the name survives, and which have survived the demise radio station.",Alter sentence structure for awkward phrasing,worse_obvious,"the name survives as a related spin-off digital television channel, digital radio station, and website which have survived the end of the printed magazine.","the name survived and will be used for the spin-off television channel, radio station, and website.","the name survives with a television channel, digital radio station, and website, which have outlasted the printed magazine.","the name has become a brand for a related spin-off digital television channel, digital radio station and website.  these have survived the end of the printed magazine.","the name lives on as a brand for a spin-off television channel, digital radio station, and website even though the printed magazine no longer exists.","the name has lasted as a brand from a digital television channel, digital radio station, and website which stayed even though printed magazines are decreasing.","the magazine is no longer printed.  the name of the magazine is still used for a spin-off digital television channel, digital radio station, and website.","the brand name is a spin-off digital television channel, digital radio station, and website which have outlived the of the printed magazine.","the name survives as a brand for a related by product of digital television channel, digital radio station, and website which have survived the end of the printed magazine era.","the name survives as a brand for a spin-off digital television channel, digital radio station, and website which have survived the demise of the magazine.",29.57725759116116
133,"the name survives as a brand for a related spin-off digital television channel, digital radio station, and website which have survived the demise of the printed magazine.","the name survive, radio station, and which has survived the demise.",Introduce grammatical errors and inconsistencies,worse_obvious,"the name survives as a related spin-off digital television channel, digital radio station, and website which have survived the end of the printed magazine.","the name survived and will be used for the spin-off television channel, radio station, and website.","the name survives with a television channel, digital radio station, and website, which have outlasted the printed magazine.","the name has become a brand for a related spin-off digital television channel, digital radio station and website.  these have survived the end of the printed magazine.","the name lives on as a brand for a spin-off television channel, digital radio station, and website even though the printed magazine no longer exists.","the name has lasted as a brand from a digital television channel, digital radio station, and website which stayed even though printed magazines are decreasing.","the magazine is no longer printed.  the name of the magazine is still used for a spin-off digital television channel, digital radio station, and website.","the brand name is a spin-off digital television channel, digital radio station, and website which have outlived the of the printed magazine.","the name survives as a brand for a related by product of digital television channel, digital radio station, and website which have survived the end of the printed magazine era.","the name survives as a brand for a spin-off digital television channel, digital radio station, and website which have survived the demise of the magazine.",29.192167543424492
134,"the name survives as a brand for a related spin-off digital television channel, digital radio station, and website which have survived the demise of the printed magazine.","the designation persists, radio station, and which have endured the downfall.",Replace common words with complex synonyms,worse_obvious,"the name survives as a related spin-off digital television channel, digital radio station, and website which have survived the end of the printed magazine.","the name survived and will be used for the spin-off television channel, radio station, and website.","the name survives with a television channel, digital radio station, and website, which have outlasted the printed magazine.","the name has become a brand for a related spin-off digital television channel, digital radio station and website.  these have survived the end of the printed magazine.","the name lives on as a brand for a spin-off television channel, digital radio station, and website even though the printed magazine no longer exists.","the name has lasted as a brand from a digital television channel, digital radio station, and website which stayed even though printed magazines are decreasing.","the magazine is no longer printed.  the name of the magazine is still used for a spin-off digital television channel, digital radio station, and website.","the brand name is a spin-off digital television channel, digital radio station, and website which have outlived the of the printed magazine.","the name survives as a brand for a related by product of digital television channel, digital radio station, and website which have survived the end of the printed magazine era.","the name survives as a brand for a spin-off digital television channel, digital radio station, and website which have survived the demise of the magazine.",23.38911621379157
135,"the polymer is most often epoxy, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.","in some items like vinyl or ester, it is usually utilized.",Alter sentence structure for awkward phrasing,worse_obvious,"the binding agent is most often epoxy, but others, such as as polyester, vinyl ester or nylon, are also used.",the most popular polymer to use is epoxy.,"the polymer is most often epoxy. polymers such as polyester, vinyl ester or nylon are sometimes used.","the most commonly used polymer is epoxy.  however, other polymers used include polyester, vinyl ester and nylon.","the material used is usually epoxy, but polyester, vinyl ester or nylon are also used sometimes.","the chemical is usually epoxy, but other chemicals like polyester, vinyl ester or nylon, are also sometimes used.",epoxy is the most common polymer used.  sometimes vinyl ester or nylon are used.,"the polymer is most often epoxy, but polyester, vinyl ester, or nylon are sometimes used.","the polymer is most often adhesives but other polymers like polyester, vinyl ester or nylon, are also sometimes used.","the polymer is most often epoxy, but other polymers, like polyester, vinyl ester or nylon, are also sometimes used.",8.249096317699143
136,"the polymer is most often epoxy, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.","it is usually used in some items like vinyl or esters, but is not used in others.",Introduce grammatical errors and inconsistencies,worse_obvious,"the binding agent is most often epoxy, but others, such as as polyester, vinyl ester or nylon, are also used.",the most popular polymer to use is epoxy.,"the polymer is most often epoxy. polymers such as polyester, vinyl ester or nylon are sometimes used.","the most commonly used polymer is epoxy.  however, other polymers used include polyester, vinyl ester and nylon.","the material used is usually epoxy, but polyester, vinyl ester or nylon are also used sometimes.","the chemical is usually epoxy, but other chemicals like polyester, vinyl ester or nylon, are also sometimes used.",epoxy is the most common polymer used.  sometimes vinyl ester or nylon are used.,"the polymer is most often epoxy, but polyester, vinyl ester, or nylon are sometimes used.","the polymer is most often adhesives but other polymers like polyester, vinyl ester or nylon, are also sometimes used.","the polymer is most often epoxy, but other polymers, like polyester, vinyl ester or nylon, are also sometimes used.",7.373682285195237
137,"the polymer is most often epoxy, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.","generally, it is employed in various objects such as vinyl or ester.",Replace common words with complex synonyms,worse_obvious,"the binding agent is most often epoxy, but others, such as as polyester, vinyl ester or nylon, are also used.",the most popular polymer to use is epoxy.,"the polymer is most often epoxy. polymers such as polyester, vinyl ester or nylon are sometimes used.","the most commonly used polymer is epoxy.  however, other polymers used include polyester, vinyl ester and nylon.","the material used is usually epoxy, but polyester, vinyl ester or nylon are also used sometimes.","the chemical is usually epoxy, but other chemicals like polyester, vinyl ester or nylon, are also sometimes used.",epoxy is the most common polymer used.  sometimes vinyl ester or nylon are used.,"the polymer is most often epoxy, but polyester, vinyl ester, or nylon are sometimes used.","the polymer is most often adhesives but other polymers like polyester, vinyl ester or nylon, are also sometimes used.","the polymer is most often epoxy, but other polymers, like polyester, vinyl ester or nylon, are also sometimes used.",6.963003305718091
138,"this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process (or component of a process, i.e. an enzyme, cell, cell receptor or microorganism) by half.","a special chemistry is an enzyme. a special process is an enzyme, cell, cell receptor or microorganism. this is due to a certain energy amount, elemental an enzyme, cell, cell inhibitor or microorganism by half.",Alter sentence structure for awkward phrasing,worse_obvious,this number measure tells how much of a drug or chemical is needed to stop a life process or part of a process by half.,it tells how much of a drug would be needed to stop a process by half.,this measure shows how much of a drug or substance is needed to slow a biological process by half.,quantitative measures are used to determine the ingredients needed for biological processes.,this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process  by half.,this quantitative measure shows how much of a particular drug or other substance is needed to block a specific biological process by half.,this measurement will indicate how much of a particular drug or substance is needed to hold back a biological process by half.,this quantitative measure shows how much of a drug or other substance is needed to inhibit a biological process by half.,this measure shows how much of a drug or substance is needed to halt a given process by half.,this unit shows how much of a drug is needed to slow a biological process by half of its speed.,4.577153103133634
139,"this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process (or component of a process, i.e. an enzyme, cell, cell receptor or microorganism) by half.","an enzyme is a special chemistry. an enzyme, cell, cell receptor or microorganism is a special process. this is because of a certain amount of energy, elemental an enzyme, cell, cell inhibitor or microorganism by half.",Introduce grammatical errors and inconsistencies,worse_obvious,this number measure tells how much of a drug or chemical is needed to stop a life process or part of a process by half.,it tells how much of a drug would be needed to stop a process by half.,this measure shows how much of a drug or substance is needed to slow a biological process by half.,quantitative measures are used to determine the ingredients needed for biological processes.,this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process  by half.,this quantitative measure shows how much of a particular drug or other substance is needed to block a specific biological process by half.,this measurement will indicate how much of a particular drug or substance is needed to hold back a biological process by half.,this quantitative measure shows how much of a drug or other substance is needed to inhibit a biological process by half.,this measure shows how much of a drug or substance is needed to halt a given process by half.,this unit shows how much of a drug is needed to slow a biological process by half of its speed.,5.038673922099651
140,"this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process (or component of a process, i.e. an enzyme, cell, cell receptor or microorganism) by half.","an enzyme is a unique chemistry. an enzyme, cellular component, cellular receptor or microorganism is a distinctive process. this is due to a specific quantity of energy, elemental an enzyme, cellular component, cellular inhibitor or microorganism by fifty percent.",Replace common words with complex synonyms,worse_obvious,this number measure tells how much of a drug or chemical is needed to stop a life process or part of a process by half.,it tells how much of a drug would be needed to stop a process by half.,this measure shows how much of a drug or substance is needed to slow a biological process by half.,quantitative measures are used to determine the ingredients needed for biological processes.,this quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process  by half.,this quantitative measure shows how much of a particular drug or other substance is needed to block a specific biological process by half.,this measurement will indicate how much of a particular drug or substance is needed to hold back a biological process by half.,this quantitative measure shows how much of a drug or other substance is needed to inhibit a biological process by half.,this measure shows how much of a drug or substance is needed to halt a given process by half.,this unit shows how much of a drug is needed to slow a biological process by half of its speed.,2.528595101106113
141,"a few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","animals a few have response chromatic, color changing in environments changing, either (snowshoe hare) seasonally or with chromatophores far more rapidly in their integument (the family cephalopod).",Alter sentence structure for awkward phrasing,worse_obvious,some animals change color in different environments. sometimes this is because of the season.,"a few animals have a chromatic response, which means they change colors depending on their environment.  they can either do this with the seasons, or far more rapidly with cells in their skin.","a few animals have chromatic response. they can change color in changing environments. some change seasonally, like the ermine or snowshoe hare. some change quickly, like members of the cephalopod family.","some animals have chromatic response.  this means that they change colour in changing environments.  the change can be seasonal (e.g. ermine, snowshoe hare) or more quickly (e.g. chromatophores).",some animals change color in different environments.  they change colors with the seasons or with their skin cells.,a few animals change colors depending on their environment. this could be a seasonal change or a faster change.,a couple of animals change colors when their surroundings change either by season like the ermine and snowshoe hare or a lot quicker because they have organs in the skin (the cephalopod family).,some animals change colors in different environments. some animals like the ermine and snowshoe hare change color when the season changes. other types of animal change faster.,"some animals have 'chromatic responses', they change color depending on what's around them.","a few animals have chromatic response which means they change colors when their environment changes. this can happen either seasonally (ermine, snowshoe hare) or far more rapidly with pigment  in their outer layer of skin (octopus, squid).",11.863919311480126
142,"a few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","a few animals has chromatic response, changing color in changing environment, either seasonally (snowshoe hare) or more rapid with chromatophores in their integument (the cephalopod family).",Introduce grammatical errors and inconsistencies,worse_obvious,some animals change color in different environments. sometimes this is because of the season.,"a few animals have a chromatic response, which means they change colors depending on their environment.  they can either do this with the seasons, or far more rapidly with cells in their skin.","a few animals have chromatic response. they can change color in changing environments. some change seasonally, like the ermine or snowshoe hare. some change quickly, like members of the cephalopod family.","some animals have chromatic response.  this means that they change colour in changing environments.  the change can be seasonal (e.g. ermine, snowshoe hare) or more quickly (e.g. chromatophores).",some animals change color in different environments.  they change colors with the seasons or with their skin cells.,a few animals change colors depending on their environment. this could be a seasonal change or a faster change.,a couple of animals change colors when their surroundings change either by season like the ermine and snowshoe hare or a lot quicker because they have organs in the skin (the cephalopod family).,some animals change colors in different environments. some animals like the ermine and snowshoe hare change color when the season changes. other types of animal change faster.,"some animals have 'chromatic responses', they change color depending on what's around them.","a few animals have chromatic response which means they change colors when their environment changes. this can happen either seasonally (ermine, snowshoe hare) or far more rapidly with pigment  in their outer layer of skin (octopus, squid).",40.988458894920875
143,"a few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","a few creatures possess chromatic reaction, altering hue in fluctuating surroundings, either periodically (snowshoe hare) or significantly swifter with chromatophores in their integument (the cephalopod lineage).",Replace common words with complex synonyms,worse_obvious,some animals change color in different environments. sometimes this is because of the season.,"a few animals have a chromatic response, which means they change colors depending on their environment.  they can either do this with the seasons, or far more rapidly with cells in their skin.","a few animals have chromatic response. they can change color in changing environments. some change seasonally, like the ermine or snowshoe hare. some change quickly, like members of the cephalopod family.","some animals have chromatic response.  this means that they change colour in changing environments.  the change can be seasonal (e.g. ermine, snowshoe hare) or more quickly (e.g. chromatophores).",some animals change color in different environments.  they change colors with the seasons or with their skin cells.,a few animals change colors depending on their environment. this could be a seasonal change or a faster change.,a couple of animals change colors when their surroundings change either by season like the ermine and snowshoe hare or a lot quicker because they have organs in the skin (the cephalopod family).,some animals change colors in different environments. some animals like the ermine and snowshoe hare change color when the season changes. other types of animal change faster.,"some animals have 'chromatic responses', they change color depending on what's around them.","a few animals have chromatic response which means they change colors when their environment changes. this can happen either seasonally (ermine, snowshoe hare) or far more rapidly with pigment  in their outer layer of skin (octopus, squid).",15.051192747836993
144,the latter device can then be designed and used in less stringent environments.,designed and used can the device.,Alter sentence structure for awkward phrasing,worse_obvious,the latter device can be designed and used in less stringent environments.,the second device can be designed to be used in settings with less strict requirements.,the latter device can be designed and used in less strict environments.,the last device can be used in less strict environments.,the device can be designed and used in less stringent situations.,the last device can be made and used in less severe environments.,the second device can be designed and used in less constricted environments.,the latter device can then be designed and used in less harsh environments.,the item can be made and used in places with less rules.,the last mentioned device can be designed and used in less strict environments.,18.882488456859065
145,the latter device can then be designed and used in less stringent environments.,the device can be design and useds.,Introduce grammatical errors and inconsistencies,worse_obvious,the latter device can be designed and used in less stringent environments.,the second device can be designed to be used in settings with less strict requirements.,the latter device can be designed and used in less strict environments.,the last device can be used in less strict environments.,the device can be designed and used in less stringent situations.,the last device can be made and used in less severe environments.,the second device can be designed and used in less constricted environments.,the latter device can then be designed and used in less harsh environments.,the item can be made and used in places with less rules.,the last mentioned device can be designed and used in less strict environments.,26.295889981470587
146,the latter device can then be designed and used in less stringent environments.,the apparatus can be formulated and utilized.,Replace common words with complex synonyms,worse_obvious,the latter device can be designed and used in less stringent environments.,the second device can be designed to be used in settings with less strict requirements.,the latter device can be designed and used in less strict environments.,the last device can be used in less strict environments.,the device can be designed and used in less stringent situations.,the last device can be made and used in less severe environments.,the second device can be designed and used in less constricted environments.,the latter device can then be designed and used in less harsh environments.,the item can be made and used in places with less rules.,the last mentioned device can be designed and used in less strict environments.,9.545138913210204
147,these attacks may have been psychological in origin rather than physical.,"instead of physical, these attacks may have been in source mental.",Alter sentence structure for awkward phrasing,worse_obvious,the attacks may have been psychological rather than physical in nature.,"these attacks were psychological, rather than physical.",these attacks were probably psychological instead of physical.,these may be psychological attack rather than physical attack.,these attacks may have been mental instead of physical.,these attacks may have been psychological rather than physical.,"the attacks might have been on people's minds, not their bodies.",these attacks may have come from the mind rather than the body.,"at first, these may have been some psychological attacks rather than physical.",the attacks could be from the mind rather than body strength.,44.48493879587353
148,these attacks may have been psychological in origin rather than physical.,these attacks may has been mental in source instead of physical.,Introduce grammatical errors and inconsistencies,worse_obvious,the attacks may have been psychological rather than physical in nature.,"these attacks were psychological, rather than physical.",these attacks were probably psychological instead of physical.,these may be psychological attack rather than physical attack.,these attacks may have been mental instead of physical.,these attacks may have been psychological rather than physical.,"the attacks might have been on people's minds, not their bodies.",these attacks may have come from the mind rather than the body.,"at first, these may have been some psychological attacks rather than physical.",the attacks could be from the mind rather than body strength.,35.08439695638686
149,these attacks may have been psychological in origin rather than physical.,these assaults may have been psychological in origin rather than corporeal.,Replace common words with complex synonyms,worse_obvious,the attacks may have been psychological rather than physical in nature.,"these attacks were psychological, rather than physical.",these attacks were probably psychological instead of physical.,these may be psychological attack rather than physical attack.,these attacks may have been mental instead of physical.,these attacks may have been psychological rather than physical.,"the attacks might have been on people's minds, not their bodies.",these attacks may have come from the mind rather than the body.,"at first, these may have been some psychological attacks rather than physical.",the attacks could be from the mind rather than body strength.,27.901593935858266
150,no skater has yet accomplished a quadruple axel in competition.,accomplished no skater has a quadruple axel in competition.,Alter sentence structure for awkward phrasing,worse_obvious,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,65.80370064762461
151,no skater has yet accomplished a quadruple axel in competition.,no skater has accomplished a quadruple axel in competion.,Introduce grammatical errors and inconsistencies,worse_obvious,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,39.281465090051306
152,no skater has yet accomplished a quadruple axel in competition.,no skater achieved a quadruple axel in contest.,Replace common words with complex synonyms,worse_obvious,"right now, no skater has performed a quadruple axel in competition.",the quadruple axel hasn't been performed by a skater in competition.,no skater has completed a quadruple axel in competition.,no skater has ever done a four spin axel in competition.,no skater has done a quadruple axel in the competition yet.,no skater has been able to do a quadruple axel in competition.,no skater has been able to do a quadruple axel in competition.,no skater did the quadruple axel in competition.,a quadruple axel has never been performed successfully in competition.,no skater has done a quadruple axel in competition.,36.88939732334405
153,"in a short video promoting the charity equality now joss whedon confirmed that ""fray is not done, fray is coming back.","promoting the charity equality now, in a short video, joss whedon said that the movie was not completed, coming back is fray.",Alter sentence structure for awkward phrasing,worse_obvious,"in a short video for the charity equality now, joss whedon stated that ""fray is not done, fray is coming back"".","in an equality now video joss whedon confirmed ""fray is not done, fray is coming back.","joss whedon made a short video to support the charity equality now. in the video, he said, ""fray is not done, fray is coming back.""","joss whedon confirmed that ""fray is not done, fray is coming back"" in a short promotional video for the charity equality now.","in a short video for the charity equality now joss whedon said that ""fray is not done, fray is coming back.","in a video joss whedon said that ""fray is not done, fray is coming back.""","in a short video, joss whedon said that ""fray is coming back.""",in a short video to help give funds to equality now joss whedon said that fray will be back.,"joss whedon confirmed that ""fray is not done, fray is coming back"" in a short video that promotes the charity equality now",in a video joss whedon confirmed that the fray is not done.,51.191407111567585
